Year,Framework,Current_Popularity,Current_Popularity_Percent,Desired_Popularity,Desired_Popularity_Percent,Loved,Loved_Percent,Wanted,Wanted_Percent,Dreaded,Dreaded_Percent
2025,ASP.NET,5337,0.23234653896386592,3619,0.15755333043099695,3159,0.5919055649241147,460,0.02002612102742708,2178,0.40809443507588533
2025,Angular,4930,0.21462777535916414,3125,0.13604701784936873,2113,0.4286004056795132,1012,0.04405746626033957,2817,0.5713995943204868
2025,Astro,1056,0.045973008271658684,1345,0.058554636482368305,657,0.6221590909090909,688,0.02995211144971702,399,0.3778409090909091
2025,Blazor,1646,0.0716586852416195,1617,0.07039616891597736,855,0.5194410692588093,762,0.03317370483239007,791,0.48055893074119077
2025,Django,2977,0.12960383108402262,2302,0.10021767522855898,1381,0.4638898219684246,921,0.04009577710056596,1596,0.5361101780315755
2025,Drupal,526,0.022899434044405746,296,0.012886373530692207,177,0.3365019011406844,119,0.005180670439703962,349,0.6634980988593155
2025,Express,4706,0.20487592511972139,2620,0.11406181976491075,2139,0.45452613684657883,481,0.02094035698737484,2567,0.5454738631534212
2025,FastAPI,3501,0.1524161950370048,2918,0.12703526338702656,1943,0.5549842902027992,975,0.042446669569003045,1558,0.4450157097972008
2025,Fastify,692,0.030126251632564213,620,0.026991728341314757,344,0.49710982658959535,276,0.012015672616456247,348,0.5028901734104047
2025,Flask,3402,0.1481062255115368,1955,0.08511101436656508,1418,0.41681363903586127,537,0.023378319547235526,1984,0.5831863609641388
2025,Htmx,0,0.0,0,0.0,0,nan,0,0.0,0,nan
2025,Laravel,2107,0.09172834131475838,1502,0.06538963865912059,1007,0.4779307071665876,495,0.02154984762734001,1100,0.5220692928334124
2025,Next,4924,0.21436656508489335,3423,0.14902046147148454,2242,0.4553208773354996,1181,0.051414888985633435,2682,0.5446791226645004
2025,Nuxt,948,0.0412712233347845,920,0.04005224205485416,440,0.4641350210970464,480,0.02089682194166304,508,0.5358649789029536
2025,Phoenix,568,0.024727905964301262,887,0.03861558554636482,449,0.7904929577464789,438,0.019068350021767523,119,0.20950704225352113
2025,Rails,1395,0.06073138876795821,1242,0.054070526774053114,725,0.5197132616487455,517,0.022507618632999566,670,0.48028673835125446
2025,React,10581,0.4606443186765346,7018,0.3055289508053983,5509,0.5206502220962101,1509,0.06569438397910318,5072,0.4793497779037898
2025,Strapi,0,0.0,0,0.0,0,nan,0,0.0,0,nan
2025,Svelte,1715,0.07466260339573356,2539,0.11053548106225511,1070,0.6239067055393586,1469,0.06395298215063126,645,0.3760932944606414
2025,Symfony,949,0.0413147583804963,714,0.031084022638223772,475,0.5005268703898841,239,0.010404875925119721,474,0.4994731296101159
2025,Vue,4161,0.18114932520679147,3514,0.15298215063125817,2120,0.509492910358087,1394,0.06068785372224641,2041,0.490507089641913
2025,WordPress,3223,0.14031345232912495,1255,0.05463648236830649,979,0.3037542662116041,276,0.012015672616456247,2244,0.6962457337883959
2024,ASP.NET,9667,0.21405637607670336,7592,0.168109652133478,6642,0.6870797558704872,950,0.021035849516175462,3025,0.31292024412951275
2024,Angular,9513,0.21064635415513386,7034,0.15575385841766126,4810,0.5056238831073269,2224,0.04924603086734129,4703,0.4943761168926732
2024,Astro,1462,0.0323730652554195,2271,0.050286751843404705,1055,0.7216142270861833,1216,0.026925887380704592,407,0.27838577291381666
2024,Blazor,2378,0.052656052788910786,2971,0.06578685148690241,1456,0.6122792262405383,1515,0.03354664422842718,922,0.38772077375946173
2024,Django,5835,0.12920440202829875,4973,0.11011713646730587,2960,0.5072836332476436,2013,0.04457385797480127,2875,0.49271636675235647
2024,Drupal,920,0.02037155953145413,418,0.009255773787117203,262,0.2847826086956522,156,0.003454307920550918,658,0.7152173913043478
2024,Express,8614,0.19073979761298465,5616,0.12435508513983304,4577,0.5313443231947992,1039,0.023006576470848743,4037,0.4686556768052008
2024,FastAPI,4800,0.10628639755541286,4914,0.1088106994973539,3116,0.6491666666666667,1798,0.0398131130842984,1684,0.35083333333333333
2024,Fastify,1070,0.02369300945506078,1127,0.02495516042603131,600,0.5607476635514018,527,0.011669360731604702,470,0.4392523364485981
2024,Flask,6245,0.13828303181949028,3994,0.08843913996589978,2880,0.4611689351481185,1114,0.024667301432652066,3365,0.5388310648518815
2024,Htmx,1591,0.03522951218972122,4201,0.09302274086047696,1160,0.7291011942174733,3041,0.06733686145125219,431,0.27089880578252673
2024,Laravel,3834,0.08489626004738601,3103,0.06870972741967626,2162,0.5639019300991132,941,0.02083656252075906,1672,0.4360980699008868
2024,Next,8681,0.1922233785788623,8507,0.18837049666747857,5165,0.5949775371500979,3342,0.0740019042979562,3516,0.40502246284990207
2024,Nuxt,1753,0.0388166781072164,2208,0.04889174287548991,1056,0.6023958927552767,1152,0.025508735413299087,697,0.39760410724472334
2024,Phoenix,930,0.020592989526361242,1586,0.03511879719226767,778,0.8365591397849462,808,0.0178915435884945,152,0.16344086021505377
2024,Rails,2294,0.050796040831691064,2301,0.050951041828126035,1270,0.5536181342632955,1031,0.022829432474923052,1024,0.44638186573670446
2024,React,19167,0.42441487123845795,15404,0.3410907641549124,11915,0.6216413627589086,3489,0.07725692522309072,7252,0.3783586372410915
2024,Strapi,815,0.018046544584929474,692,0.01532295564757202,354,0.4343558282208589,338,0.007484333827860322,461,0.5656441717791411
2024,Svelte,3146,0.06966187639777684,5374,0.11899647926308098,2290,0.7279084551811824,3084,0.06828901042935276,856,0.27209154481881753
2024,Symfony,1531,0.03390093222027856,1153,0.025530878412789795,836,0.5460483344219464,317,0.007019330838555391,695,0.45395166557805355
2024,Vue,7483,0.1656960651889905,7604,0.16837536812736653,4505,0.6020312708806629,3099,0.06862115542171343,2978,0.3979687291193372
2024,WordPress,5711,0.1264586700914506,2516,0.055711786718628906,1972,0.345298546664332,544,0.012045791722946791,3739,0.654701453335668
2023,ASP.NET,14166,0.21162867130777735,11016,0.16457019928889421,9585,0.6766200762388819,1431,0.02137799157429263,4581,0.3233799237611182
2023,Angular,14580,0.21781349905883057,10325,0.15424721383967252,6939,0.4759259259259259,3386,0.0505841226209328,7641,0.524074074074074
2023,Astro,0,0.0,0,0.0,0,nan,0,0.0,0,nan
2023,Blazor,3501,0.052302130329558695,4553,0.06801816606411903,2136,0.6101113967437874,2417,0.03610804027607637,1365,0.3898886032562125
2023,Django,8238,0.12306910872747916,6945,0.1037527264035376,4161,0.5050983248361253,2784,0.04159072574621291,4077,0.49490167516387473
2023,Drupal,1343,0.020063342197257163,530,0.007917774657145419,345,0.2568875651526433,185,0.0027637515312677404,998,0.7431124348473567
2023,Express,13843,0.20680331052615852,9115,0.13617078490543488,7511,0.5425846998482988,1604,0.023962472735964625,6332,0.45741530015170123
2023,FastAPI,5325,0.07955122650811199,5912,0.08832053542083719,3434,0.6448826291079812,2478,0.03701933132152141,1891,0.3551173708920188
2023,Fastify,1474,0.02202037706534405,1644,0.024560040634617107,852,0.5780189959294437,792,0.01183184439331919,622,0.42198100407055633
2023,Flask,8734,0.13047895067076998,5513,0.08235979563177866,3962,0.45362949393176094,1551,0.02317069527025008,4772,0.5463705060682391
2023,Htmx,0,0.0,0,0.0,0,nan,0,0.0,0,nan
2023,Laravel,5440,0.08126923421673787,4024,0.06011533060443993,2863,0.5262867647058823,1161,0.017344408258388358,2577,0.47371323529411763
2023,Next,11972,0.17885207206668857,14129,0.2110759210015238,7896,0.6595389241563648,6233,0.09311601780752338,4076,0.34046107584363516
2023,Nuxt,2652,0.03961875168065972,3391,0.050658818608264364,1518,0.5723981900452488,1873,0.02798111685440258,1134,0.4276018099547511
2023,Phoenix,1468,0.021930741880546178,2262,0.03379246466879799,1205,0.8208446866485014,1057,0.0157907317218919,263,0.17915531335149865
2023,Rails,3940,0.058860438017269714,3501,0.052302130329558695,2087,0.5296954314720812,1414,0.021124025217365325,1853,0.4703045685279188
2023,React,29137,0.43528339657593595,24100,0.36003465893812187,18534,0.6360984315475169,5566,0.0831515730974932,10603,0.3639015684524831
